bbref_id,mlbam_id,name,xbh,swing_contact,strikeout,onbase
semiema01,543760,Marcus Semien,0.032,0.904,0.693,0.669
acunaro01,660670,Ronald Acuña,0.256,0.193,0.152,0.429
freemfr01,518692,Freddie Freeman,0.596,0.673,0.321,0.757
bregmal01,608324,Alex Bregman,0.619,0.799,0.727,0.742
lowena01,663993,Nathaniel Lowe,0.601,0.463,0.328,0.6
olsonma02,621566,Matt Olson,0.685,0.839,0.464,0.205
schwaky01,656941,Kyle Schwarber,0.59,0.464,0.277,0.941
kwanst01,680757,Steven Kwan,0.199,0.761,0.178,0.274
rileyau01,663586,Austin Riley,0.514,0.166,0.47,0.516
rodriju01,677594,Julio Rodríguez,0.368,0.342,0.343,0.84
sotoju01,665742,Juan Soto,0.056,0.57,0.785,0.908
wittbo02,677951,Bobby Witt,0.405,0.94,0.901,0.889
suareeu01,553993,Eugenio Suárez,0.167,0.329,0.019,0.145
bettsmo01,605141,Mookie Betts,0.563,0.179,0.448,0.818
ramirjo01,608070,José Ramírez,0.44,0.405,0.326,0.248
happia01,664023,Ian Happ,0.943,0.364,0.58,0.797
turnetr01,607208,Trea Turner,0.378,0.457,0.755,0.613
hoernni01,663538,Nico Hoerner,0.208,0.644,0.798,0.375
goldspa01,502671,Paul Goldschmidt,0.611,0.561,0.928,0.787
rutscad01,668939,Adley Rutschman,0.787,0.393,0.902,0.428
lindofr01,596019,Francisco Lindor,0.131,0.696,0.874,0.066
torkesp01,679529,Spencer Torkelson,0.395,0.246,0.054,0.59
springe01,543807,George Springer,0.778,0.958,0.771,0.948
nimmobr01,607043,Brandon Nimmo,0.647,0.985,0.417,0.882
guerrvl02,665489,Vladimir Guerrero,0.928,0.476,0.903,0.003
thomala02,657041,Lane Thomas,0.85,0.529,0.104,0.418
hernate01,606192,Teoscar Hernández,0.478,0.233,0.414,0.811
tuckeky01,663656,Kyle Tucker,0.525,0.285,0.64,0.686
torregl01,650402,Gleyber Torres,0.953,0.841,0.038,0.505
casteni01,592206,Nick Castellanos,0.731,0.502,0.948,0.568
steersp01,668715,Spencer Steer,0.521,0.752,0.985,0.48
bogaexa01,593428,Xander Bogaerts,0.075,0.942,0.48,0.018
francty01,664034,Ty France,0.684,0.844,0.659,0.961
walkech02,572233,Christian Walker,0.851,0.472,0.897,0.965
albieoz01,645277,Ozzie Albies,0.427,0.214,0.631,0.503
alonspe01,624413,Pete Alonso,0.705,0.757,0.802,0.852
menesjo01,608841,Joey Meneses,0.842,0.799,0.438,0.057
deverra01,646240,Rafael Devers,0.504,0.998,0.319,0.636
santaan02,623993,Anthony Santander,0.5,0.99,0.948,0.907
arozara01,668227,Randy Arozarena,0.219,0.809,0.797,0.337
marteke01,606466,Ketel Marte,0.496,0.113,0.444,0.626
mcneije01,643446,Jeff McNeil,0.912,0.494,0.901,0.581
carroco02,682998,Corbin Carroll,0.83,0.182,0.363,0.829
reynobr01,668804,Bryan Reynolds,0.166,0.643,0.618,0.412
stottbr01,681082,Bryson Stott,0.468,0.302,0.309,0.503
crawfjp01,641487,J. P. Crawford,0.618,0.131,0.077,0.239
swansda01,621020,Dansby Swanson,0.512,0.651,0.375,0.957
adamewi01,642715,Willy Adames,0.733,0.112,0.281,0.026
tatisfe02,665487,Fernando Tatís,0.038,0.994,0.619,0.872
penaje02,665161,Jeremy Peña,0.552,0.236,0.953,0.452
garciad02,666969,Adolis García,0.072,0.158,0.109,0.188
yelicch01,592885,Christian Yelich,0.746,0.828,0.977,0.202
mcmahry01,641857,Ryan McMahon,0.76,0.897,0.601,0.47
turneju01,457759,Justin Turner,0.915,0.465,0.323,0.562
kimha01,673490,Ha-Seong Kim,0.986,0.962,0.963,0.898
delacbr01,650559,Bryan De La Cruz,0.874,0.205,0.484,0.878
hendegu01,683002,Gunnar Henderson,0.135,0.933,0.173,0.234
beninan01,643217,Andrew Benintendi,0.372,0.063,0.103,0.433
santaca01,467793,Carlos Santana,0.417,0.304,0.39,0.401
arraelu01,650333,Luis Arráez,0.127,0.768,0.101,0.487
belljo02,605137,Josh Bell,0.784,0.748,0.271,0.071
gimenan01,665926,Andrés Giménez,0.787,0.759,0.057,0.535
vaughan01,683734,Andrew Vaughn,0.384,0.449,0.351,0.042
tovarez01,678662,Ezequiel Tovar,0.53,0.338,0.344,0.004
abramcj01,682928,CJ Abrams,0.554,0.47,0.053,0.579
arenano01,571448,Nolan Arenado,0.182,0.704,0.367,0.785
contrwi02,661388,William Contreras,0.681,0.73,0.064,0.021
bohmal01,664761,Alec Bohm,0.621,0.528,0.101,0.502
verdual01,657077,Alex Verdugo,0.51,0.254,0.212,0.831
melenmj01,669004,MJ Melendez,0.676,0.752,0.778,0.218
bichebo01,666182,Bo Bichette,0.277,0.987,0.672,0.657
machama01,592518,Manny Machado,0.485,0.89,0.674,0.779
volpean01,683011,Anthony Volpe,0.075,0.625,0.043,0.275
diazya01,650490,Yandy Díaz,0.554,0.175,0.269,0.305
ohtansh01,660271,Shohei Ohtani,0.299,0.904,0.844,0.795
roberlu01,673357,Luis Robert,0.842,0.678,0.889,0.512
abreujo02,547989,José Abreu,0.282,0.268,0.811,0.28
ozunama01,542303,Marcell Ozuna,0.476,0.071,0.326,0.767
