bbref_id,season,Name,Age,Level,Team,G,PA,AB,R,H,X1B,X2B,X3B,HR,RBI,BB,IBB,uBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS
semiema01,2023,Marcus Semien,32,Maj-AL,Texas,162,753,670,122,185,112,40,4,29,100,72,1,71,110,5,0,5,5,14,3,0.276,0.348,0.478,0.826
acunaro01,2023,Ronald Acuna Jr.,25,Maj-NL,Atlanta,159,735,643,149,217,137,35,4,41,106,80,3,77,84,9,0,3,15,72,14,0.338,0.416,0.596,1.012
freemfr01,2023,Freddie Freeman,33,Maj-NL,Los Angeles,161,730,637,131,211,121,59,2,29,102,72,12,60,121,16,0,5,14,23,1,0.331,0.41,0.567,0.976
bregmal01,2023,Alex Bregman,29,Maj-AL,Houston,161,724,622,103,163,106,28,4,25,98,92,1,91,87,8,0,2,22,3,1,0.262,0.363,0.441,0.804
lowena01,2023,Nathaniel Lowe,27,Maj-AL,Texas,161,724,623,89,163,105,38,3,17,82,93,2,91,165,5,0,3,22,1,0,0.262,0.361,0.414,0.775
olsonma02,2023,Matt Olson,29,Maj-NL,Atlanta,162,720,608,127,172,88,27,3,54,139,104,8,96,167,4,0,4,13,1,0,0.283,0.389,0.604,0.993
schwaky01,2023,Kyle Schwarber,30,Maj-NL,Philadelphia,160,720,585,108,115,48,19,1,47,104,126,5,121,215,6,0,3,4,0,2,0.197,0.343,0.474,0.817
kwanst01,2023,Steven Kwan,25,Maj-AL,Cleveland,158,718,638,93,171,123,36,7,5,54,70,2,68,75,3,1,6,9,21,3,0.268,0.34,0.37,0.71
rileyau01,2023,Austin Riley,26,Maj-NL,Atlanta,159,715,636,117,179,107,32,3,37,97,59,4,55,172,9,0,11,18,3,1,0.281,0.346,0.516,0.861
rodriju01,2023,Julio Rodríguez,22,Maj-AL,Seattle,155,714,654,102,180,109,37,2,32,103,47,6,41,175,11,0,2,14,37,10,0.275,0.333,0.485,0.818
sotoju01,2023,Juan Soto,24,Maj-NL,San Diego,162,708,568,97,156,88,32,1,35,109,132,11,121,129,2,1,5,18,12,5,0.275,0.41,0.519,0.93
wittbo02,2023,Bobby Witt Jr.,23,Maj-AL,Kansas City,158,694,641,97,177,108,28,11,30,96,40,1,39,121,4,1,8,11,49,15,0.276,0.319,0.495,0.813
suareeu01,2023,Eugenio Suárez,31,Maj-AL,Seattle,162,694,598,68,139,88,29,0,22,96,70,0,70,214,15,0,11,10,2,1,0.232,0.323,0.391,0.714
bettsmo01,2023,Mookie Betts,30,Maj-NL,Los Angeles,152,693,584,126,179,99,40,1,39,107,96,3,93,107,8,0,5,5,14,3,0.307,0.408,0.579,0.987
ramirjo01,2023,José Ramírez,30,Maj-AL,Cleveland,156,691,611,87,172,107,36,5,24,80,73,22,51,73,1,0,6,8,28,6,0.282,0.356,0.475,0.831
happia01,2023,Ian Happ,28,Maj-NL,Chicago,158,691,580,86,144,84,35,4,21,84,99,2,97,153,6,0,6,12,14,3,0.248,0.36,0.431,0.791
turnetr01,2023,Trea Turner,30,Maj-NL,Philadelphia,155,691,639,102,170,104,35,5,26,76,45,2,43,150,6,0,1,12,30,0,0.266,0.32,0.459,0.778
hoernni01,2023,Nico Hoerner,26,Maj-NL,Chicago,150,688,619,98,175,135,27,4,9,68,49,0,49,83,14,1,5,12,43,7,0.283,0.346,0.383,0.729
goldspa01,2023,Paul Goldschmidt,35,Maj-NL,St. Louis,154,687,593,89,159,103,31,0,25,80,87,6,81,161,3,0,3,12,11,2,0.268,0.363,0.447,0.81
rutscad01,2023,Adley Rutschman,25,Maj-AL,Baltimore,154,687,588,84,163,111,31,1,20,80,92,6,86,101,2,0,5,14,1,2,0.277,0.374,0.435,0.81
lindofr01,2023,Francisco Lindor,29,Maj-NL,New York,160,687,602,108,153,87,33,2,31,98,66,1,65,137,12,0,7,8,31,4,0.254,0.336,0.47,0.806
torkesp01,2023,Spencer Torkelson,23,Maj-AL,Detroit,159,684,606,88,141,75,34,1,31,94,67,1,66,171,6,0,5,15,3,0,0.233,0.313,0.446,0.758
springe01,2023,George Springer,33,Maj-AL,Toronto,154,683,613,87,158,111,25,1,21,72,60,1,59,125,5,0,3,20,20,5,0.258,0.328,0.405,0.732
nimmobr01,2023,Brandon Nimmo,30,Maj-NL,New York,152,682,592,89,162,102,30,6,24,68,74,0,74,146,11,1,4,6,3,3,0.274,0.363,0.466,0.829
guerrvl02,2023,Vladimir Guerrero Jr.,24,Maj-AL,Toronto,156,682,602,78,159,103,30,0,26,94,67,5,62,100,9,0,4,23,5,3,0.264,0.345,0.444,0.788
thomala02,2023,Lane Thomas,27,Maj-NL,Washington,156,682,628,101,168,101,36,3,28,86,36,0,36,176,11,0,7,5,20,5,0.268,0.315,0.468,0.783
hernate01,2023,Teoscar Hernández,30,Maj-AL,Seattle,160,678,625,70,161,104,29,2,26,93,38,2,36,211,8,0,7,6,7,2,0.258,0.305,0.435,0.741
tuckeky01,2023,Kyle Tucker,26,Maj-AL,Houston,157,674,574,97,163,92,37,5,29,112,80,9,71,92,3,0,10,11,30,5,0.284,0.369,0.517,0.886
torregl01,2023,Gleyber Torres,26,Maj-AL,New York,158,672,596,90,163,108,28,2,25,68,67,0,67,98,3,0,6,19,13,6,0.274,0.347,0.453,0.8
casteni01,2023,Nick Castellanos,31,Maj-NL,Philadelphia,157,671,626,79,170,102,37,2,29,106,36,0,36,185,3,0,6,17,11,2,0.272,0.312,0.476,0.788
steersp01,2023,Spencer Steer,25,Maj-NL,Cincinnati,156,665,582,74,158,95,37,3,23,86,68,0,68,139,11,0,4,9,15,3,0.272,0.356,0.464,0.82
bogaexa01,2023,Xander Bogaerts,30,Maj-NL,San Diego,155,665,596,83,170,118,31,2,19,58,56,0,56,110,7,0,6,21,19,2,0.285,0.35,0.44,0.79
francty01,2023,Ty France,28,Maj-AL,Seattle,158,665,587,79,147,103,32,0,12,58,43,0,43,117,34,0,1,25,1,0,0.25,0.337,0.366,0.703
walkech02,2023,Christian Walker,32,Maj-NL,Arizona,157,661,582,86,150,79,36,2,33,103,62,3,59,127,8,0,8,13,11,0,0.258,0.333,0.497,0.83
albieoz01,2023,Ozzie Albies,26,Maj-NL,Atlanta,148,660,596,96,167,99,30,5,33,109,46,2,44,107,8,0,8,9,13,1,0.28,0.336,0.513,0.849
alonspe01,2023,Pete Alonso,28,Maj-NL,New York,154,658,568,92,123,54,21,2,46,118,65,6,59,151,21,0,4,17,4,1,0.217,0.318,0.504,0.821
menesjo01,2023,Joey Meneses,31,Maj-NL,Washington,154,657,611,71,168,118,36,1,13,89,38,0,38,130,5,0,3,15,0,0,0.275,0.321,0.401,0.722
deverra01,2023,Rafael Devers,26,Maj-AL,Boston,153,656,580,90,157,90,34,0,33,100,62,10,52,126,11,0,3,15,5,1,0.271,0.351,0.5,0.851
santaan02,2023,Anthony Santander,28,Maj-AL,Baltimore,153,656,591,81,152,82,41,1,28,95,55,1,54,152,6,0,4,11,5,1,0.257,0.325,0.472,0.797
arozara01,2023,Randy Arozarena,28,Maj-AL,Tampa Bay,151,654,551,95,140,95,19,3,23,83,80,1,79,156,18,0,5,10,22,10,0.254,0.364,0.425,0.789
marteke01,2023,Ketel Marte,29,Maj-NL,Arizona,150,650,569,94,157,97,26,9,25,82,71,2,69,109,5,0,5,16,8,2,0.276,0.359,0.485,0.844
mcneije01,2023,Jeff McNeil,31,Maj-NL,New York,156,648,585,75,158,119,25,4,10,55,39,0,39,65,18,3,3,5,10,0,0.27,0.333,0.378,0.711
