bbref_id,mlbam_id,name,xbh,swing_contact,strikeout,onbase
webblo01,657277,Logan Webb,0.269,0.461,0.465,0.189
galleza01,668678,Zac Gallen,0.719,0.582,0.971,0.682
colege01,543037,Gerrit Cole,0.09,0.181,0.441,0.475
mikolmi01,571945,Miles Mikolas,0.98,0.762,0.87,0.833
bassich01,605135,Chris Bassitt,0.635,0.988,0.571,0.799
valdefr01,664285,Framber Valdez,0.204,0.853,0.851,0.45
castilu02,622491,Luis Castillo,0.695,0.237,0.887,0.784
kellemi03,656605,Mitch Keller,0.691,0.665,0.952,0.826
lopezpa01,641154,Pablo López,0.89,0.679,0.333,0.93
nolaaa01,605400,Aaron Nola,0.299,0.947,0.886,0.172
burneco01,669203,Corbin Burnes,0.417,0.262,0.617,0.297
gibsoky01,502043,Kyle Gibson,0.699,0.923,0.909,0.643
wheelza01,554430,Zack Wheeler,0.267,0.583,0.122,0.322
gilbelo01,669302,Logan Gilbert,0.858,0.813,0.762,0.802
kirbyge01,669923,George Kirby,0.453,0.301,0.55,0.474
berrijo01,621244,José Berríos,0.609,0.338,0.51,0.768
montgjo01,656756,Jordan Montgomery,0.986,0.719,0.399,0.536
stridsp01,675911,Spencer Strider,0.831,0.298,0.402,0.859
gausmke01,592332,Kevin Gausman,0.259,0.255,0.098,0.357
alcansa01,645261,Sandy Alcántara,0.103,0.45,0.665,0.009
giolilu01,608337,Lucas Giolito,0.255,0.322,0.862,0.625
grayso01,543243,Sonny Gray,0.304,0.219,0.074,0.061
lynnla01,458681,Lance Lynn,0.554,0.771,0.766,0.626
corbipa01,571578,Patrick Corbin,0.051,0.182,0.365,0.853
snellbl01,605483,Blake Snell,0.506,0.416,0.368,0.655
luzarje01,666200,Jesús Luzardo,0.189,0.163,0.174,0.47
oviedjo01,670912,Johan Oviedo,0.018,0.962,0.717,0.274
lylesjo01,543475,Jordan Lyles,0.83,0.523,0.444,0.698
kellyme01,518876,Merrill Kelly,0.542,0.294,0.352,0.337
eflinza01,621107,Zach Eflin,0.604,0.415,0.972,0.302
ceasedy01,656302,Dylan Cease,0.418,0.885,0.064,0.603
elderbr01,693821,Bryce Elder,0.324,0.341,0.888,0.233
steelju01,657006,Justin Steele,0.868,0.317,0.66,0.851
kremede01,665152,Dean Kremer,0.364,0.218,0.237,0.424
walketa01,592836,Taijuan Walker,0.578,0.081,0.88,0.019
dunnida01,641540,Dane Dunning,0.299,0.744,0.696,0.888
searsjp01,676664,JP Sears,0.891,0.893,0.549,0.848
bradiky01,680694,Kyle Bradish,0.017,0.892,0.456,0.099
kikucyu01,579328,Yusei Kikuchi,0.579,0.359,0.656,0.37
sengako01,673540,Kodai Senga,0.357,0.71,0.688,0.797
peralfr01,642547,Freddy Peralta,0.741,0.577,0.665,0.762
mortoch02,450203,Charlie Morton,0.38,0.48,0.744,0.327
verlaju01,434378,Justin Verlander,0.792,0.861,0.139,0.309
javiecr01,664299,Cristian Javier,0.414,0.92,0.991,0.089
ryanjo04,657746,Joe Ryan,0.935,0.825,0.927,0.97
singebr01,663903,Brady Singer,0.967,0.791,0.29,0.476
garrebr01,666129,Braxton Garrett,0.795,0.97,0.755,0.356
grayjo03,680686,Josiah Gray,0.351,0.876,0.632,0.027
schmicl01,657376,Clarke Schmidt,0.525,0.743,0.509,0.583
grayjo02,592351,Jon Gray,0.696,0.97,0.891,0.425
bellobr01,678394,Brayan Bello,0.034,0.014,0.498,0.344
freelky01,607536,Kyle Freeland,0.173,0.358,0.57,0.647
brownhu01,686613,Hunter Brown,0.164,0.96,0.597,0.275
taillja01,592791,Jameson Taillon,0.552,0.605,0.78,0.901
lorenmi01,547179,Michael Lorenzen,0.967,0.003,0.55,0.906
rodried05,593958,Eduardo Rodríguez,0.956,0.848,0.879,0.954
scherma01,453286,Max Scherzer,0.682,0.053,0.165,0.211
cobbal01,502171,Alex Cobb,0.697,0.696,0.994,0.995
detmere01,672282,Reid Detmers,0.091,0.81,0.89,0.178
heanean01,571760,Andrew Heaney,0.642,0.613,0.356,0.305
hillri01,448179,Rich Hill,0.389,0.279,0.966,0.545
lugose01,607625,Seth Lugo,0.524,0.584,0.015,0.342
ashcrgr01,668933,Graham Ashcraft,0.188,0.022,0.6,0.026
sandopa02,663776,Patrick Sandoval,0.159,0.944,0.239,0.329
willitr01,592866,Trevor Williams,0.224,0.711,0.053,0.05
flaheja01,656427,Jack Flaherty,0.207,0.342,0.505,0.508
oberba01,641927,Bailey Ober,0.634,0.596,0.515,0.885
nelsory01,669194,Ryne Nelson,0.676,0.852,0.588,0.87
eovalna01,543135,Nathan Eovaldi,0.579,0.672,0.021,0.644
pivetni01,601713,Nick Pivetta,0.32,0.967,0.803,0.319
smylydr01,592767,Drew Smyly,0.563,0.946,0.321,0.986
greinza01,425844,Zack Greinke,0.282,0.506,0.989,0.64
bibeeta01,676440,Tanner Bibee,0.339,0.924,0.342,0.714
perezma02,527048,Martín Pérez,0.593,0.905,0.012,0.125
waldike01,686610,Ken Waldichuk,0.818,0.376,0.77,0.508
anderty01,542881,Tyler Anderson,0.268,0.966,0.705,0.062
gombeau01,596295,Austin Gomber,0.708,0.435,0.706,0.71
hendrky01,543294,Kyle Hendricks,0.194,0.526,0.33,0.94
stromma01,573186,Marcus Stroman,0.483,0.466,0.809,0.607
gorema01,669022,MacKenzie Gore,0.929,0.888,0.574,0.71
francjp01,641585,J. P. France,0.469,0.527,0.64,0.384
darviyu01,506433,Yu Darvish,0.445,0.64,0.219,0.451
wachami01,608379,Michael Wacha,0.826,0.985,0.84,0.697
ohtansh01,660271,Shohei Ohtani,0.149,0.859,0.261,0.547
kershcl01,477132,Clayton Kershaw,0.504,0.168,0.346,0.517
clevimi01,605182,Mike Clevinger,0.973,0.41,0.925,0.642
millebr04,682243,Bryce Miller,0.706,0.735,0.538,0.512
kopecmi01,656629,Michael Kopech,0.423,0.751,0.716,0.993
crawfku01,676710,Kutter Crawford,0.77,0.814,0.554,0.432
biebesh01,669456,Shane Bieber,0.93,0.915,0.648,0.149
cannigr01,656288,Griffin Canning,0.312,0.989,0.675,0.169
megilty01,656731,Tylor Megill,0.246,0.01,0.413,0.855
allenlo02,671106,Logan Allen,0.865,0.144,0.036,0.526
suarera01,624133,Ranger Suárez,0.1,0.007,0.358,0.561
reaco01,607067,Colin Rea,0.757,0.115,0.635,0.547
millebo06,676272,Bobby Miller,0.048,0.705,0.227,0.948
weavelu01,596133,Luke Weaver,0.464,0.987,0.961,0.657
civalaa01,650644,Aaron Civale,0.874,0.993,0.63,0.898
rodrigr01,680570,Grayson Rodriguez,0.198,0.622,0.204,0.865
irvinja01,663623,Jake Irvin,0.12,0.113,0.128,0.032
mileywa01,489119,Wade Miley,0.13,0.281,0.71,0.713
glasnty01,607192,Tyler Glasnow,0.338,0.805,0.464,0.01
wellsty01,669330,Tyler Wells,0.231,0.119,0.158,0.716
manaese01,640455,Sean Manaea,0.488,0.464,0.352,0.614
uriasju01,628711,Julio Urías,0.846,0.442,0.912,0.812
willibr02,682227,Brandon Williamson,0.617,0.196,0.436,0.623
mcclash01,663556,Shane McClanahan,0.338,0.089,0.092,0.58
greenhu01,668881,Hunter Greene,0.649,0.395,0.988,0.036
housead01,605288,Adrian Houser,0.6,0.422,0.245,0.981
peterda01,656849,David Peterson,0.597,0.589,0.39,0.568
martini01,607259,Nick Martínez,0.094,0.272,0.321,0.036
medinlu02,665622,Luis Medina,0.425,0.624,0.628,0.582
abbotan01,671096,Andrew Abbott,0.919,0.945,0.867,0.853
assadja01,665871,Javier Assad,0.801,0.779,0.941,0.692
germado01,593334,Domingo Germán,0.11,0.884,0.316,0.99
houckta01,656557,Tanner Houck,0.737,0.833,0.818,0.341
wentzjo01,666214,Joey Wentz,0.975,0.368,0.585,0.94
matzst01,571927,Steven Matz,0.208,0.812,0.912,0.373
bradlta01,671737,Taj Bradley,0.28,0.433,0.961,0.243
kingmi01,650633,Mike King,0.305,0.835,0.879,0.203
maedake01,628317,Kenta Maeda,0.34,0.755,0.745,0.659
blackpa01,621112,Paul Blackburn,0.758,0.622,0.299,0.188
olsonre01,681857,Reese Olson,0.428,0.988,0.974,0.074
gonsoto01,664062,Tony Gonsolin,0.414,0.651,0.197,0.352
salech01,519242,Chris Sale,0.335,0.65,0.936,0.304
flexech01,623167,Chris Flexen,0.541,0.344,0.619,0.942
wainwad01,425794,Adam Wainwright,0.461,0.748,0.504,0.971
