bbref_id,season,Name,Age,Level,Team,G,GS,W,L,SV,IP,H,R,ER,uBB,BB,SO,HR,HBP,ERA,AB,X1B,X2B,X3B,IBB,GDP,SF,SB,CS,PO,BF,Pit,Str,StL,StS,GB.FB,LD,PU,WHIP,BAbip,SO9,SO.W,SO_perc,uBB_perc,SO_uBB
webblo01,2023,Logan Webb,26,Maj-NL,San Francisco,33,33,11,13,NA,216,201,83,78,31,31,194,20,5,3.25,811,143,34,4,0,30,0,20,4,0,850,3184,0.68,0.2,0.09,0.63,0.21,0.02,1.074,0.303,8.1,6.26,0.228,0.036,0
galleza01,2023,Zac Gallen,27,Maj-NL,Arizona,34,34,17,9,NA,210,188,87,81,47,47,220,22,5,3.47,790,121,42,3,0,17,4,5,6,0,846,3252,0.65,0.17,0.11,0.42,0.27,0.04,1.119,0.301,9.4,4.68,0.26,0.056,0
colege01,2023,Gerrit Cole,32,Maj-AL,New York,33,33,15,4,NA,209,157,64,61,48,48,222,20,7,2.63,761,110,26,1,0,14,2,7,4,2,821,3282,0.66,0.16,0.12,0.4,0.25,0.07,0.981,0.263,9.6,4.63,0.27,0.058,0
mikolmi01,2023,Miles Mikolas,34,Maj-NL,St. Louis,35,35,9,13,NA,201.1,226,110,107,39,39,137,26,8,4.78,802,145,50,5,0,14,8,12,5,1,860,3197,0.67,0.18,0.07,0.39,0.27,0.07,1.316,0.309,6.1,3.51,0.159,0.045,0
bassich01,2023,Chris Bassitt,34,Maj-AL,Toronto,33,33,16,8,NA,200,176,88,80,57,59,186,28,12,3.6,749,108,38,2,2,14,5,14,6,2,826,3140,0.66,0.19,0.1,0.43,0.23,0.07,1.175,0.274,8.4,3.15,0.225,0.069,0
valdefr01,2023,Framber Valdez,29,Maj-AL,Houston,31,31,12,11,NA,198,166,86,76,57,57,200,19,10,3.45,728,107,37,3,0,22,8,19,1,1,808,2953,0.64,0.17,0.12,0.55,0.24,0.02,1.126,0.284,9.1,3.51,0.248,0.071,0
castilu02,2023,Luis Castillo,30,Maj-AL,Seattle,33,33,14,9,NA,197,160,81,73,56,56,219,28,5,3.34,735,91,36,5,0,2,5,6,6,1,802,3208,0.67,0.14,0.15,0.39,0.24,0.09,1.096,0.268,10,3.91,0.273,0.07,0
kellemi03,2023,Mitch Keller,27,Maj-NL,Pittsburgh,32,32,13,9,NA,194.1,187,97,91,55,55,210,25,12,4.21,752,122,38,2,0,15,5,12,2,2,825,3121,0.66,0.19,0.1,0.44,0.25,0.05,1.245,0.31,9.7,3.82,0.255,0.067,0
lopezpa01,2023,Pablo López,27,Maj-AL,Minnesota,32,32,11,8,NA,194,176,81,79,47,48,234,24,9,3.66,738,121,26,5,1,10,4,8,3,2,801,3026,0.67,0.16,0.15,0.45,0.23,0.07,1.155,0.314,10.9,4.88,0.292,0.059,0
nolaaa01,2023,Aaron Nola,30,Maj-NL,Philadelphia,32,32,12,9,NA,193.2,178,105,96,45,45,202,32,1,4.46,741,108,35,3,0,15,4,21,5,3,793,3093,0.67,0.18,0.12,0.43,0.25,0.06,1.152,0.286,9.4,4.49,0.255,0.057,0
burneco01,2023,Corbin Burnes,28,Maj-NL,Milwaukee,32,32,10,8,NA,193.2,141,77,73,66,66,200,22,8,3.39,704,99,19,1,0,10,6,11,2,3,784,3081,0.63,0.17,0.12,0.44,0.26,0.06,1.069,0.244,9.3,3.03,0.255,0.084,0
